"従業者規模","事業所数","従業者数","製造品出荷額等","付加価値額"
"みなべ町_  4～  9人","32.0","192.0","200429.0","87847.0"
"みなべ町_ 10～ 19人","21.0","292.0","410133.0","193192.0"
"みなべ町_ 20～ 29人","4.0","94.0","96872.0","35693.0"
"みなべ町_ 30～ 99人","13.0","680.0","1230024.0","406739.0"
"みなべ町_100～299人","3.0","331.0","947440.0","270532.0"
"みなべ町_300人以上","-","-","-","-"
"日高川町","20.0","651.0","1554975.0","503810.0"
"日高川町_  4～  9人","8.0","51.0","165495.0","42687.0"
"日高川町_ 10～ 19人","4.0","57.0","51975.0","21383.0"
"日高川町_ 20～ 29人","1.0","21.0","χ","χ"
"日高川町_ 30～ 99人","5.0","251.0","785311.0","185996.0"
"日高川町_100～299人","2.0","271.0","χ","χ"
"日高川町_300人以上","-","-","-","-"
"白浜町","23.0","576.0","743292.0","414817.0"
"白浜町_  4～  9人","12.0","73.0","58072.0","31633.0"
"白浜町_ 10～ 19人","3.0","39.0","χ","χ"
"白浜町_ 20～ 29人","4.0","107.0","287805.0","146700.0"
"白浜町_ 30～ 99人","3.0","110.0","138831.0","63947.0"
"白浜町_100～299人","1.0","247.0","χ","χ"
"白浜町_300人以上","-","-","-","-"
"上富田町","29.0","1112.0","2175850.0","835717.0"
"上富田町_  4～  9人","11.0","78.0","81930.0","46405.0"
"上富田町_ 10～ 19人","4.0","61.0","χ","χ"
"上富田町_ 20～ 29人","4.0","108.0","133338.0","70138.0"
"上富田町_ 30～ 99人","9.0","674.0","1002851.0","389189.0"
"上富田町_100～299人","1.0","191.0","χ","χ"
"上富田町_300人以上","-","-","-","-"
"すさみ町","10.0","192.0","499739.0","216618.0"
"すさみ町_  4～  9人","4.0","29.0","100234.0","41755.0"
"すさみ町_ 10～ 19人","3.0","42.0","186770.0","72447.0"
"すさみ町_ 20～ 29人","1.0","27.0","χ","χ"
"すさみ町_ 30～ 99人","2.0","94.0","χ","χ"
"すさみ町_100～299人","-","-","-","-"
"すさみ町_300人以上","-","-","-","-"
"那智勝浦町","20.0","258.0","179260.0","80183.0"
"那智勝浦町_  4～  9人","13.0","87.0","71390.0","29236.0"
"那智勝浦町_ 10～ 19人","5.0","72.0","χ","χ"
"那智勝浦町_ 20～ 29人","1.0","29.0","χ","χ"
"那智勝浦町_ 30～ 99人","1.0","70.0","χ","χ"
"那智勝浦町_100～299人","-","-","-","-"
"那智勝浦町_300人以上","-","-","-","-"
"太地町","4.0","30.0","23608.0","4199.0"
"太地町_  4～  9人","3.0","17.0","χ","χ"
"太地町_ 10～ 19人","1.0","13.0","χ","χ"
"太地町_ 20～ 29人","-","-","-","-"
"太地町_ 30～ 99人","-","-","-","-"
"太地町_100～299人","-","-","-","-"
"太地町_300人以上","-","-","-","-"
"古座川町","3.0","20.0","χ","χ"
"古座川町_  4～  9人","3.0","20.0","χ","χ"
"古座川町_ 10～ 19人","-","-","-","-"
"古座川町_ 20～ 29人","-","-","-","-"
"古座川町_ 30～ 99人","-","-","-","-"
"古座川町_100～299人","-","-","-","-"
"古座川町_300人以上","-","-","-","-"
"北山村","1.0","14.0","χ","χ"
"北山村_  4～  9人","-","-","-","-"
"北山村_ 10～ 19人","1.0","14.0","χ","χ"
"北山村_ 20～ 29人","-","-","-","-"
"北山村_ 30～ 99人","-","-","-","-"
"北山村_100～299人","-","-","-","-"
"北山村_300人以上","-","-","-","-"
"串本町","23.0","268.0","299516.0","90289.0"
"串本町_  4～  9人","13.0","90.0","61779.0","26337.0"
"串本町_ 10～ 19人","7.0","75.0","76457.0","35034.0"
"串本町_ 20～ 29人","1.0","29.0","χ","χ"
"串本町_ 30～ 99人","2.0","74.0","χ","χ"
"串本町_100～299人","-","-","-","-"
"串本町_300人以上","-","-","-","-"
