"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","現金給与総      額（万円）","原   材   料使 用 額 等（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　（万円）","従業者規　模"
"30　情報_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"," 20～ 29人"
"30　情報_ 30～ 99人","1.0","33.0","35.0","68.0","-","-","-","68.0","χ","χ","χ","χ","χ","-","χ","χ"," 30～ 99人"
"30　情報_100～299人","1.0","137.0","91.0","228.0","-","-","-","228.0","χ","χ","χ","χ","χ","-","χ","χ","100～299人"
"30　情報_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"31　輸送","25.0","626.0","222.0","848.0","2.0","-","2.0","850.0","334631.0","609479.0","1427382.0","330216.0","3640.0","220.0","1761458.0","1007334.0","31　輸送"
"31　輸送_  4～  9人","11.0","58.0","19.0","77.0","1.0","-","1.0","78.0","28292.0","14108.0","48902.0","29639.0","1076.0","220.0","79837.0","61315.0","  4～  9人"
"31　輸送_ 10～ 19人","6.0","62.0","24.0","86.0","1.0","-","1.0","87.0","χ","χ","92037.0","χ","2564.0","-","χ","χ"," 10～ 19人"
"31　輸送_ 20～ 29人","2.0","27.0","21.0","48.0","-","-","-","48.0","χ","χ","-","χ","-","-","χ","χ"," 20～ 29人"
"31　輸送_ 30～ 99人","3.0","127.0","57.0","184.0","-","-","-","184.0","χ","χ","230675.0","χ","-","-","257021.0","119075.0"," 30～ 99人"
"31　輸送_100～299人","3.0","352.0","101.0","453.0","-","-","-","453.0","χ","χ","1055768.0","χ","-","-","1253925.0","727855.0","100～299人"
"31　輸送_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"32　そ他","85.0","663.0","564.0","1227.0","25.0","9.0","34.0","1261.0","360010.0","825403.0","1582277.0","43093.0","63205.0","-","1688575.0","779861.0","32　そ他"
"32　そ他_  4～  9人","45.0","118.0","108.0","226.0","23.0","9.0","32.0","258.0","63331.0","150735.0","221089.0","27535.0","21464.0","-","270088.0","111335.0","  4～  9人"
"32　そ他_ 10～ 19人","25.0","159.0","165.0","324.0","2.0","-","2.0","326.0","89342.0","207087.0","359257.0","7661.0","17230.0","-","384148.0","165168.0"," 10～ 19人"
"32　そ他_ 20～ 29人","8.0","95.0","91.0","186.0","-","-","-","186.0","60416.0","149337.0","249271.0","7897.0","20160.0","-","277328.0","119395.0"," 20～ 29人"
"32　そ他_ 30～ 99人","6.0","211.0","164.0","375.0","-","-","-","375.0","χ","χ","χ","-","4351.0","-","χ","χ"," 30～ 99人"
"32　そ他_100～299人","1.0","80.0","36.0","116.0","-","-","-","116.0","χ","χ","χ","-","-","-","χ","χ","100～299人"
"32　そ他_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
