"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","現金給与総      額（万円）","原   材   料使 用 額 等（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　（万円）","従業者規　模"
"10　飲料","31.0","977.0","332.0","1309.0","2.0","1.0","3.0","1312.0","475492.0","3860422.0","4769731.0","651299.0","648225.0","-","6069255.0","1874657.0","10　飲料"
"10　飲料_  4～  9人","8.0","25.0","18.0","43.0","2.0","1.0","3.0","46.0","12186.0","22621.0","29803.0","2907.0","13836.0","-","46546.0","21711.0","  4～  9人"
"10　飲料_ 10～ 19人","7.0","61.0","35.0","96.0","-","-","-","96.0","22948.0","48765.0","72885.0","150.0","30816.0","-","103851.0","46909.0"," 10～ 19人"
"10　飲料_ 20～ 29人","3.0","45.0","25.0","70.0","-","-","-","70.0","18012.0","56205.0","103287.0","-","12643.0","-","115930.0","49172.0"," 20～ 29人"
"10　飲料_ 30～ 99人","9.0","296.0","138.0","434.0","-","-","-","434.0","151210.0","1719701.0","2012703.0","219448.0","342473.0","-","2574624.0","694864.0"," 30～ 99人"
"10　飲料_100～299人","4.0","550.0","116.0","666.0","-","-","-","666.0","271136.0","2013130.0","2551053.0","428794.0","248457.0","-","3228304.0","1062001.0","100～299人"
"10　飲料_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"11　繊維","268.0","2165.0","2190.0","4355.0","67.0","46.0","113.0","4468.0","1199965.0","4121734.0","4940221.0","1909457.0","177395.0","1.0","7027074.0","2647131.0","11　繊維"
"11　繊維_  4～  9人","143.0","329.0","439.0","768.0","53.0","39.0","92.0","860.0","157743.0","379498.0","500359.0","203623.0","31857.0","1.0","735840.0","332411.0","  4～  9人"
"11　繊維_ 10～ 19人","74.0","439.0","565.0","1004.0","12.0","6.0","18.0","1022.0","258819.0","947768.0","1177224.0","334734.0","86946.0","-","1598904.0","607402.0"," 10～ 19人"
"11　繊維_ 20～ 29人","24.0","319.0","275.0","594.0","2.0","1.0","3.0","597.0","172910.0","633702.0","784824.0","179646.0","5889.0","-","970359.0","314724.0"," 20～ 29人"
"11　繊維_ 30～ 99人","23.0","832.0","540.0","1372.0","-","-","-","1372.0","451316.0","1610845.0","1758451.0","894609.0","52703.0","-","2705763.0","979591.0"," 30～ 99人"
"11　繊維_100～299人","4.0","246.0","371.0","617.0","-","-","-","617.0","159177.0","549921.0","719363.0","296845.0","-","-","1016208.0","413003.0","100～299人"
"11　繊維_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","300人以上 "
"12　木材","95.0","1025.0","279.0","1304.0","19.0","5.0","24.0","1328.0","512046.0","2063170.0","2824747.0","145058.0","269510.0","-","3239315.0","1065801.0","12　木材"
"12　木材_  4～  9人","52.0","225.0","76.0","301.0","17.0","4.0","21.0","322.0","86471.0","261863.0","389268.0","18151.0","43936.0","-","451355.0","176764.0","  4～  9人"
"12　木材_ 10～ 19人","27.0","278.0","57.0","335.0","2.0","1.0","3.0","338.0","93025.0","412838.0","641566.0","10621.0","27582.0","-","679769.0","249007.0"," 10～ 19人"
